HOLE:	984b
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
87.3252	20.3178	12.1214	1.2547	1.1574	0.5473	53.6193	17.1582	3.2172	1.0724	0.0000
87.4776	22.9912	13.9232	1.4681	1.2805	0.6224	53.5906	28.9389	5.3591	0.0000	1.0718
87.6300	23.2996	14.0186	1.4750	1.3106	0.6274	54.0811	32.0481	5.0075	0.0000	0.0000
87.7824	23.0663	13.6001	1.4893	1.3367	0.5951	60.1181	19.3237	3.2206	2.1471	0.0000
87.9348	26.0873	15.6403	1.7632	1.4752	0.6727	66.4523	21.4362	8.5745	2.1436	1.0718
88.0872	27.0671	16.3419	1.8311	1.5145	0.7055	71.9640	18.9905	10.9945	0.9995	0.0000
88.2396	28.3294	17.2175	1.9941	1.5691	0.7282	84.6731	22.5080	7.5027	0.0000	1.0718
88.3920	25.6530	15.6637	1.8098	1.4106	0.6635	68.6327	24.6649	8.5791	2.1448	0.0000
88.5444	19.6715	12.4814	1.6042	1.0153	0.4910	50.3751	16.0772	6.4309	1.0718	2.1436
88.6968	19.9823	12.8489	1.6521	1.0073	0.5053	55.7940	18.2403	6.4378	2.1459	1.0730
88.8492	16.7107	10.7809	1.3073	0.8373	0.4423	49.0245	10.0050	4.0020	3.0015	0.0000
89.0016	16.0336	11.0174	1.1664	0.7083	0.4914	36.5003	16.1031	7.5148	0.0000	1.0735
89.1540	16.9676	11.8440	1.1902	0.7235	0.5431	41.7559	16.0600	6.4240	0.0000	1.0707
89.3064	17.5177	12.4706	1.2313	0.7127	0.5769	34.2980	26.7953	3.2154	0.0000	1.0718
89.4588	21.2377	14.7328	1.4695	0.9185	0.6781	51.0255	20.0100	8.0040	1.0005	0.0000
89.6112	26.4385	17.4222	1.9485	1.2732	0.7529	71.8499	26.8097	8.5791	1.0724	1.0724
89.7636	21.4997	13.7706	1.5204	1.0914	0.5997	53.5906	28.9389	5.3591	1.0718	0.0000
