HOLE:	984B
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	TENS	CS	ETIM
100.4316	2245.0000	577.4451	2582.0581
100.5840	2300.0000	577.4350	2581.1221
100.7364	2300.0000	576.1895	2580.1626
100.8888	2235.0000	576.8168	2579.2095
101.0412	2235.0000	576.9767	2578.2600
101.1936	2365.0000	576.8562	2577.2971
101.3460	2365.0000	577.8757	2576.3459
101.4984	2320.0000	578.0139	2575.3960
101.6508	2320.0000	578.0851	2574.4475
101.8032	2310.0000	578.0359	2573.5149
101.9556	2310.0000	576.5620	2572.5649
102.1080	2310.0000	576.4257	2571.6160
102.2604	2335.0000	576.1830	2570.6641
102.4128	2335.0000	576.1660	2569.7014
102.5652	2305.0000	577.0446	2568.7524
102.7176	2305.0000	576.8903	2567.7854
102.8700	2365.0000	578.2513	2566.8359
103.0224	2365.0000	578.3129	2565.8865
103.1748	2115.0000	578.3834	2564.9341
103.3272	2115.0000	578.7239	2563.9875
103.4796	2355.0000	578.5914	2563.0386
103.6320	2355.0000	578.6581	2562.0891
103.7844	2190.0000	578.7778	2561.1560
103.9368	2190.0000	577.4548	2560.2061
104.0892	2305.0000	577.4462	2559.2571
104.2416	2305.0000	577.3492	2558.2910
104.3940	2130.0000	578.6920	2557.3511
104.5464	2130.0000	577.9823	2556.4084
104.6988	2295.0000	577.3924	2555.4590
104.8512	2295.0000	577.3313	2554.4985
105.0036	2295.0000	578.2068	2553.5581
105.1560	2410.0000	577.4722	2552.6179
105.3084	2410.0000	576.5883	2551.6755
105.4608	2275.0000	575.7993	2550.7100
105.6132	2275.0000	576.8785	2549.7439
105.7656	2325.0000	578.1540	2548.7944
105.9180	2325.0000	578.2017	2547.8450
106.0704	2310.0000	578.2563	2546.9016
106.2228	2310.0000	577.7937	2545.9629
106.3752	2280.0000	576.8224	2545.0129
106.5276	2280.0000	576.7234	2544.0630
106.6800	2235.0000	576.6102	2543.1135
106.8324	2235.0000	576.4374	2542.1704
106.9848	2455.0000	575.6709	2541.2314
107.1372	2455.0000	574.4409	2540.2815
107.2896	2290.0000	574.0016	2539.3330
107.4420	2290.0000	573.3691	2538.3669
107.5944	2335.0000	574.1432	2537.4146
107.7468	2335.0000	573.8779	2536.4504
107.8992	2355.0000	574.5564	2535.4939
108.0516	2355.0000	574.6943	2534.5344
108.2040	2354.9990	575.1080	2533.5864
108.3564	2340.0000	574.5900	2532.6370
108.5088	2340.0000	574.1287	2531.6841
108.6612	2335.0000	573.9045	2530.7246
108.8136	2334.9951	574.2055	2529.7710
108.9660	2255.0000	574.0353	2528.8210
109.1184	2254.9998	573.5383	2527.8589
109.2708	2250.0000	573.9992	2526.8899
109.4232	2250.0845	575.1160	2525.9404
109.5756	2275.0874	574.7256	2524.9900
109.7280	2275.2263	574.3746	2524.0474
109.8804	2345.6746	573.2985	2523.1079
110.0328	2344.3848	571.7495	2522.1416
110.1852	2193.7830	572.3362	2521.1919
110.3376	2196.9045	571.5432	2520.2253
110.4900	2326.0164	572.1249	2519.2590
110.6424	2325.9294	572.7415	2518.2922
110.7948	2417.2710	573.4877	2517.3254
110.9472	2412.9543	574.3423	2516.3689
111.0996	2293.1543	574.4438	2515.4094
111.2520	2297.5469	574.8113	2514.4604
111.4044	2355.6577	574.3314	2513.5034
111.5568	2357.2178	574.4708	2512.5442
111.7092	2352.7517	574.8298	2511.5977
111.8616	2150.4265	574.1561	2510.6619
112.0140	2160.6545	572.4277	2509.7102
112.1664	2256.5955	571.8295	2508.7441
112.3188	2257.7888	572.3905	2507.7952
112.4712	2302.0264	571.5654	2506.8281
112.6236	2299.9683	572.1735	2505.8625
112.7760	2326.1172	572.7290	2504.8965
112.9284	2325.6763	573.3926	2503.9346
113.0808	2362.2969	573.8393	2502.9822
113.2332	2357.5591	573.4984	2502.0310
