HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	RHOB	PEF	DRHO
143.2556	1.5738	3.2742	0.0116
143.4080	1.5756	3.2966	0.0130
143.5604	1.5771	3.2554	0.0099
143.7128	1.5781	3.1393	0.0063
143.8652	1.5728	3.0491	0.0066
144.0176	1.5601	3.0079	0.0103
144.1700	1.5450	3.0407	0.0117
144.3224	1.5311	3.0613	0.0039
144.4748	1.5357	3.1091	0.0004
144.6272	1.5475	3.1752	0.0010
144.7796	1.5663	3.2268	0.0075
144.9320	1.5869	3.2283	0.0163
145.0844	1.6004	3.1800	0.0223
145.2368	1.5881	3.1569	0.0145
145.3892	1.5606	3.0500	0.0034
145.5416	1.5376	2.9385	-0.0017
145.6940	1.5188	2.8670	-0.0047
145.8464	1.5123	2.8943	0.0012
145.9988	1.5261	2.9009	0.0119
146.1512	1.5394	2.9844	0.0048
146.3036	1.5699	3.1365	0.0076
146.4560	1.5812	3.2961	0.0027
146.6084	1.5846	3.3423	0.0006
146.7608	1.5919	3.2490	0.0060
146.9132	1.5959	3.1000	0.0114
147.0656	1.5965	2.9752	0.0156
147.2180	1.5891	2.9029	0.0144
147.3704	1.5792	2.8489	0.0144
147.5228	1.5597	2.7285	0.0202
147.6752	1.5151	2.6045	0.0059
147.8276	1.5042	2.5878	0.0190
147.9800	1.5128	2.6573	0.0348
148.1324	1.4965	2.7241	0.0210
148.2848	1.4780	2.7776	0.0055
148.4372	1.4708	2.8694	-0.0017
148.5896	1.4878	3.0864	-0.0017
148.7420	1.5271	3.3020	0.0155
148.8944	1.5398	3.4645	0.0045
149.0468	1.5511	3.5184	0.0009
149.1992	1.5739	3.3249	0.0082
149.3516	1.5859	3.1152	0.0134
149.5040	1.5790	2.9813	0.0178
149.6564	1.5504	3.0521	0.0031
149.8088	1.5505	3.1859	0.0136
149.9612	1.5554	3.2822	0.0106
150.1136	1.5629	3.2754	0.0082
150.2660	1.5741	3.2061	0.0090
150.4184	1.5757	3.1541	0.0093
150.5708	1.5765	3.1359	0.0126
150.7232	1.5720	3.1900	0.0123
150.8756	1.5687	3.2159	0.0110
151.0280	1.5685	3.2471	0.0078
151.1804	1.5874	3.2345	0.0055
151.3328	1.6024	3.2742	0.0051
151.4852	1.6228	3.3174	0.0061
151.6376	1.6200	3.3510	0.0054
151.7900	1.6212	3.3876	0.0078
151.9424	1.6147	3.4118	0.0072
152.0948	1.6071	3.4123	0.0084
152.2472	1.5990	3.3379	0.0089
152.3996	1.5888	3.2676	0.0110
152.5520	1.5764	3.2513	0.0155
152.7044	1.5665	3.3589	0.0167
152.8568	1.5613	3.4793	0.0185
153.0092	1.5871	3.6046	0.0200
153.1616	1.6160	3.5951	0.0152
153.3140	1.6301	3.4851	0.0099
153.4664	1.6262	3.3971	0.0019
153.6188	1.6240	3.3389	0.0061
153.7712	1.6282	3.3987	0.0044
153.9236	1.6230	3.4704	0.0039
154.0760	1.6175	3.5045	0.0008
154.2284	1.6166	3.4818	0.0036
154.3808	1.6125	3.4555	0.0045
154.5332	1.6067	3.4323	0.0071
154.6856	1.6028	3.4192	0.0100
