HOLE:	984b
LEG:	162
TOP:	98.145599
BOTTOM:	502.462799

DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
106.6800	22.4547	5.8381	0.0705	1.8772	0.3261	33.5245	19.4089	7.0578	2.6467	0.0000
106.8324	23.8246	5.5211	-0.0074	2.0678	0.3230	46.8604	16.8697	4.6860	0.0000	0.9372
106.9848	27.7496	6.4418	-0.0011	2.4072	0.3754	42.3467	21.1734	5.2933	0.0000	0.0000
107.1372	30.8765	7.3347	-0.0189	2.6596	0.4309	68.7831	22.9277	1.7637	0.8818	0.0000
107.2896	33.2043	8.9227	0.1527	2.7432	0.4895	58.1068	29.0534	10.3093	0.0000	0.0000
107.4420	34.0674	10.2630	0.3211	2.6892	0.5342	54.7461	25.6071	6.1810	1.7660	0.8830
107.5944	33.7737	10.9841	0.5284	2.5746	0.5352	61.7012	26.4434	9.6959	1.7629	0.0000
107.7468	33.9338	11.0747	0.5981	2.5825	0.5267	59.9912	19.4089	7.0578	1.7644	0.8822
107.8992	35.0815	10.9988	0.6702	2.7207	0.5081	52.8867	21.1547	9.6959	0.0000	0.8814
108.0516	38.0155	12.6427	0.8390	2.8664	0.5704	64.7280	29.0807	3.7523	5.6285	0.0000
108.2040	43.7432	15.8401	1.0476	3.1523	0.7154	76.8212	25.6071	7.0640	0.8830	0.0000
108.3564	44.1659	16.9163	1.0682	3.0785	0.7740	75.8712	40.5823	11.4689	2.6467	0.8822
108.5088	47.1945	17.8010	1.0530	3.3207	0.8285	74.9229	26.4434	7.0516	0.0000	0.0000
108.6612	47.4553	17.4230	1.0034	3.3928	0.8163	92.6966	30.8989	10.2996	1.8727	0.9363
108.8136	50.7371	18.7354	1.1616	3.6153	0.8615	89.9868	33.5245	8.8222	0.8822	0.0000
108.9660	55.2773	21.1657	1.3552	3.8537	0.9648	83.4897	36.5854	9.3809	1.8762	4.6904
109.1184	53.6827	20.7546	1.3820	3.7200	0.9355	108.6093	46.7991	19.4260	2.6490	1.7660
109.2708	50.8049	19.9658	1.2993	3.4840	0.9059	74.0879	38.7188	8.8477	3.5156	0.8887
109.4232	39.2614	15.1221	0.9894	2.7271	0.6851	75.5781	27.2422	13.1563	1.7644	1.7383
109.5756	35.2267	14.4385	0.9141	2.3485	0.6602	55.5986	20.5156	7.9209	1.7266	0.0186
109.7280	33.6222	15.5850	1.0841	2.0377	0.6933	56.8750	30.7500	7.1328	0.0000	0.8564
109.8804	35.2939	19.3173	1.5042	1.8049	0.8277	71.3633	26.4043	9.6729	0.0625	0.0000
110.0328	35.2060	21.6303	1.9096	1.5337	0.8822	68.7383	24.3984	8.8222	1.8018	0.0000
110.1852	33.2293	22.0578	2.0706	1.2621	0.8753	66.7422	17.8633	8.6445	2.5586	0.0430
110.3376	34.6244	23.5192	2.3104	1.2546	0.9130	61.8438	22.2969	5.4727	0.8854	0.8854
110.4900	36.2214	24.2554	2.3237	1.3518	0.9532	78.3047	25.7656	8.4106	0.9346	0.8779
110.6424	35.1823	23.3481	2.2359	1.3369	0.9178	82.5625	18.6055	7.9470	1.0098	0.0635
110.7948	29.6170	20.0993	1.8693	1.0752	0.8010	53.8242	18.3906	7.8369	2.5137	0.8135
110.9472	26.7013	18.7143	1.7762	0.9023	0.7388	53.9375	8.1875	6.2227	0.8555	0.0000
111.0996	26.7009	19.0746	1.8016	0.8616	0.7547	58.5000	25.6631	3.3047	0.0820	0.0820
111.2520	31.5547	21.9648	2.0595	1.0834	0.8721	46.7188	26.7930	9.6045	0.7920	1.0586
111.4044	34.0928	22.9166	2.1284	1.2626	0.9139	70.1094	30.1875	9.0117	0.0947	2.6469
111.5568	33.9902	21.9995	2.0515	1.3546	0.8757	63.5000	30.7344	10.8867	0.8893	2.7744
111.7092	31.0201	19.7865	1.9104	1.2691	0.7747	43.8438	22.0273	12.3828	0.9313	3.2930
111.8616	30.3516	19.2825	1.9575	1.2505	0.7360	57.0469	19.3203	7.2832	1.2227	0.0000
112.0140	31.0425	19.8244	2.0967	1.2673	0.7401	65.5625	23.4844	8.9355	3.1660	0.3594
112.1664	32.6093	20.7308	2.2430	1.3419	0.7639	57.4766	16.7656	9.0703	0.8822	2.5205
112.3188	33.3177	21.6978	2.3114	1.3127	0.8067	63.8438	22.8281	6.0508	0.8906	1.4980
112.4712	37.6097	24.9689	2.5967	1.4281	0.9408	68.3906	28.0625	9.6641	0.9292	0.4199
112.6236	39.9313	26.3891	2.7565	1.5299	0.9920	81.4688	32.0586	7.0508	1.1719	2.2090
112.7760	39.6207	25.0812	2.7420	1.6426	0.9186	71.2344	29.7188	11.0137	2.3438	0.0000
112.9284	37.7299	22.4292	2.5732	1.7286	0.7976	60.0469	31.8516	8.3477	0.7236	0.0000
113.0808	35.8383	19.5164	2.2609	1.8439	0.6897	70.3594	28.2288	6.1751	0.6602	0.0000
113.2332	34.3608	16.7696	1.8598	1.9873	0.6090	62.3633	25.9844	6.1072	3.0059	0.1602
113.3856	32.5918	14.0519	1.5125	2.0945	0.5194	63.1016	17.3945	5.9021	1.1973	1.0205
113.5380	32.4864	12.8920	1.3922	2.2136	0.4756	57.5938	21.0234	6.3584	2.6467	1.7644
113.6904	31.6604	11.9553	1.2980	2.2261	0.4397	62.0625	22.3047	7.6270	2.2676	1.3867
113.8428	31.6272	11.3544	1.1645	2.2903	0.4311	53.9375	15.8164	9.7720	0.6855	0.0000
113.9952	30.4680	10.1858	0.9596	2.2913	0.4035	64.7734	13.6875	9.5332	0.2021	0.0000
114.1476	31.1190	10.1271	0.8585	2.3715	0.4201	57.0938	19.4531	7.1719	1.3398	0.2217
114.3000	30.2566	10.2324	0.8498	2.2622	0.4279	52.4414	25.1572	4.6189	3.2012	1.1396
114.4524	29.0217	10.7241	0.8928	2.0671	0.4481	51.6172	21.8281	4.8535	3.5273	1.7643
114.6048	27.4053	11.7383	1.0731	1.7699	0.4715	55.0313	15.5078	5.7168	0.8819	1.3086
114.7572	27.1742	13.5978	1.3430	1.5338	0.5264	47.9844	21.3516	5.5820	0.8822	0.2334
114.9096	27.6921	15.7969	1.6859	1.3438	0.5867	54.7773	19.8906	7.3789	1.1230	0.8822
115.0620	27.9772	17.5935	1.9485	1.1731	0.6394	54.8906	21.6738	3.7764	2.0117	0.6357
115.2144	28.1370	19.0139	2.1259	1.0307	0.6871	49.8203	20.6797	5.4297	2.1426	0.2529
115.3668	30.5279	22.0683	2.4909	0.9557	0.7928	57.3438	18.1094	8.1992	0.8822	0.8822
115.5192	33.8504	25.1962	2.9714	0.9777	0.8800	68.0576	27.4688	8.4219	0.8985	0.6172
115.6716	35.4126	26.7587	3.2729	0.9777	0.9114	69.3750	28.4453	7.7510	0.6475	0.0000
115.8240	34.0074	26.2631	3.2361	0.8749	0.8898	69.1797	19.8828	7.4805	0.0000	0.5918
115.9764	32.3288	26.1109	3.0776	0.7025	0.9123	62.8516	21.7656	6.6563	0.0000	1.2715
116.1288	30.8502	25.7738	2.8855	0.5735	0.9306	58.8281	25.6250	9.9844	0.0000	0.5820
116.2812	30.7147	26.3391	2.8501	0.4943	0.9705	54.0703	19.7266	10.8594	0.5957	1.7634
116.4336	30.8925	26.6839	2.8404	0.4755	0.9925	54.1172	27.3906	7.9354	1.7634	2.3691
116.5860	30.6855	27.0996	2.8702	0.4051	1.0108	55.2383	28.4063	9.1875	1.4551	3.2197
116.7384	29.3322	26.4510	2.8045	0.3255	0.9861	51.6992	22.2539	9.5781	1.1992	2.3330
116.8908	27.9765	26.0343	2.8063	0.2194	0.9615	53.8594	17.7930	8.4844	1.1191	1.4248
117.0432	26.5742	25.4759	2.8046	0.1241	0.9293	57.5078	17.4375	9.2344	0.3506	1.5703
117.1956	25.2288	24.6996	2.7629	0.0598	0.8923	49.7441	18.4375	4.2246	0.8977	1.7461
117.3480	23.8662	23.4964	2.6376	0.0418	0.8470	47.0313	17.0469	6.1367	0.8521	0.0000
117.5004	23.7176	23.0602	2.5770	0.0743	0.8336	45.3477	19.4219	7.0234	0.9037	0.3701
117.6528	23.8194	22.8048	2.5424	0.1146	0.8255	48.0273	16.9141	5.4910	0.9151	0.5605
117.8052	22.8841	21.2078	2.3373	0.1894	0.7731	45.7656	18.6484	5.2914	0.5215	0.3604
117.9576	23.0127	20.4688	2.1779	0.2874	0.7615	40.1211	17.1953	6.0254	0.0000	0.5146
118.1100	24.0129	19.9048	1.9588	0.4641	0.7720	48.0938	19.9248	4.8203	0.3730	0.3730
118.2624	26.3691	20.3754	1.8558	0.6771	0.8198	50.9531	21.3203	5.1797	1.6426	0.8830
118.4148	27.9659	19.7924	1.6841	0.9234	0.8198	51.3125	23.8319	7.3945	1.8770	1.2686
118.5672	28.8247	18.2455	1.4734	1.1952	0.7713	57.0293	21.8516	5.9766	0.4902	1.7638
118.7196	29.5549	16.6594	1.2399	1.4568	0.7251	56.7461	20.1953	6.3438	0.3975	0.9668
118.8720	31.0743	15.7250	1.0903	1.7340	0.7003	59.8125	21.5645	7.2344	0.4766	0.0000
119.0244	33.0449	16.1723	1.1405	1.9061	0.7164	60.9160	25.3359	10.1719	0.8223	0.4111
119.1768	34.5131	17.2549	1.3333	1.9497	0.7413	62.5742	26.6484	10.1348	0.9297	1.3018
119.3292	34.3690	17.8359	1.4924	1.8678	0.7437	67.0391	23.4180	11.0195	0.4238	0.9180
