HOLE:	984b
LEG:	162
TOP:	87.934799
BOTTOM:	497.890808

DEPTH	IDPH	IMPH	SFLU
111.7092	0.5263	0.5279	0.4472
111.8616	0.5263	0.5291	0.4439
112.0140	0.5270	0.5356	0.4564
112.1664	0.5277	0.5448	0.5071
112.3188	0.5295	0.5548	0.5169
112.4712	0.5396	0.5640	0.5336
112.6236	0.5402	0.5700	0.5267
112.7760	0.5350	0.5709	0.5326
112.9284	0.5390	0.5671	0.5060
113.0808	0.5342	0.5610	0.4995
113.2332	0.5328	0.5543	0.4995
113.3856	0.5271	0.5473	0.4990
113.5380	0.5233	0.5402	0.4977
113.6904	0.5224	0.5341	0.4943
113.8428	0.5194	0.5304	0.4835
113.9952	0.5227	0.5301	0.4669
114.1476	0.5310	0.5330	0.4692
114.3000	0.5334	0.5377	0.4789
114.4524	0.5355	0.5439	0.4865
114.6048	0.5541	0.5525	0.5000
114.7572	0.5585	0.5642	0.5213
114.9096	0.5548	0.5776	0.5465
115.0620	0.5644	0.5885	0.5801
115.2144	0.5682	0.5929	0.5826
115.3668	0.5695	0.5901	0.5609
115.5192	0.5704	0.5834	0.5025
115.6716	0.5705	0.5773	0.5088
115.8240	0.5714	0.5753	0.5509
115.9764	0.5718	0.5793	0.5605
116.1288	0.5709	0.5894	0.5730
116.2812	0.5718	0.6034	0.5570
116.4336	0.5821	0.6167	0.5682
116.5860	0.5898	0.6247	0.5868
116.7384	0.5892	0.6264	0.5878
116.8908	0.5911	0.6240	0.5865
117.0432	0.5902	0.6200	0.5856
117.1956	0.5885	0.6144	0.5714
117.3480	0.5844	0.6059	0.5374
117.5004	0.5721	0.5946	0.5199
117.6528	0.5635	0.5824	0.5204
117.8052	0.5580	0.5719	0.5160
117.9576	0.5528	0.5643	0.5100
118.1100	0.5502	0.5596	0.5103
118.2624	0.5489	0.5570	0.5052
118.4148	0.5467	0.5560	0.5079
118.5672	0.5433	0.5560	0.5198
118.7196	0.5400	0.5552	0.5395
118.8720	0.5382	0.5524	0.5376
119.0244	0.5377	0.5483	0.5218
119.1768	0.5408	0.5453	0.4849
119.3292	0.5442	0.5459	0.4776
119.4816	0.5456	0.5513	0.4983
119.6340	0.5472	0.5608	0.5262
119.7864	0.5539	0.5718	0.5279
119.9388	0.5617	0.5816	0.5282
120.0912	0.5678	0.5885	0.5515
120.2436	0.5744	0.5929	0.5705
120.3960	0.5779	0.5958	0.5739
120.5484	0.5795	0.5983	0.5709
120.7008	0.5803	0.5999	0.5547
120.8532	0.5796	0.5997	0.5420
121.0056	0.5785	0.5975	0.5389
121.1580	0.5776	0.5945	0.5403
121.3104	0.5747	0.5915	0.5396
121.4628	0.5716	0.5893	0.5415
121.6152	0.5691	0.5881	0.5391
121.7676	0.5672	0.5869	0.5463
121.9200	0.5651	0.5846	0.5477
122.0724	0.5627	0.5812	0.5411
122.2248	0.5607	0.5773	0.5161
122.3772	0.5563	0.5733	0.5234
122.5296	0.5477	0.5693	0.5395
122.6820	0.5453	0.5652	0.5411
122.8344	0.5432	0.5608	0.5320
122.9868	0.5410	0.5570	0.5119
123.1392	0.5389	0.5544	0.5071
123.2916	0.5368	0.5530	0.4966
123.4440	0.5358	0.5519	0.5160
123.5964	0.5320	0.5502	0.5137
123.7488	0.5292	0.5480	0.5228
123.9012	0.5285	0.5460	0.4883
124.0536	0.5315	0.5459	0.4756
124.2060	0.5359	0.5481	0.4776
124.3584	0.5377	0.5517	0.4805
124.5108	0.5397	0.5560	0.5013
124.6632	0.5460	0.5607	0.5312
124.8156	0.5586	0.5665	0.5325
124.9680	0.5654	0.5742	0.5344
125.1204	0.5761	0.5847	0.5410
125.2728	0.5847	0.5978	0.5469
125.4252	0.5907	0.6120	0.5534
125.5776	0.6005	0.6248	0.5877
125.7300	0.6078	0.6340	0.5903
125.8824	0.6130	0.6390	0.5866
126.0348	0.6151	0.6410	0.5884
126.1872	0.6186	0.6414	0.5857
126.3396	0.6198	0.6411	0.5916
126.4920	0.6197	0.6405	0.5862
126.6444	0.6185	0.6401	0.5818
126.7968	0.6181	0.6398	0.5824
126.9492	0.6151	0.6394	0.5845
127.1016	0.6089	0.6377	0.5864
127.2540	0.5993	0.6328	0.5900
127.4064	0.5915	0.6238	0.5870
127.5588	0.5818	0.6111	0.5675
127.7112	0.5708	0.5963	0.5328
127.8636	0.5633	0.5818	0.5224
128.0160	0.5547	0.5695	0.5089
128.1684	0.5488	0.5611	0.5023
128.3208	0.5420	0.5566	0.5065
128.4732	0.5388	0.5550	0.5139
128.6256	0.5354	0.5538	0.5170
128.7780	0.5325	0.5514	0.5041
128.9304	0.5312	0.5480	0.4878
129.0828	0.5307	0.5448	0.4859
129.2352	0.5302	0.5433	0.4870
129.3876	0.5295	0.5443	0.4913
129.5400	0.5294	0.5475	0.5055
129.6924	0.5311	0.5519	0.5193
129.8448	0.5335	0.5567	0.5215
129.9972	0.5348	0.5606	0.5227
130.1496	0.5368	0.5627	0.5160
130.3020	0.5395	0.5623	0.5109
130.4544	0.5423	0.5607	0.5125
130.6068	0.5460	0.5599	0.5050
130.7592	0.5549	0.5622	0.4997
130.9116	0.5627	0.5686	0.5038
131.0640	0.5658	0.5799	0.5218
131.2164	0.5773	0.5960	0.5527
131.3688	0.5891	0.6152	0.5673
131.5212	0.5914	0.6319	0.5848
131.6736	0.5880	0.6379	0.6200
131.8260	0.5791	0.6278	0.6339
131.9784	0.5712	0.6051	0.6313
132.1308	0.5566	0.5782	0.5575
132.2832	0.5457	0.5546	0.4812
132.4356	0.5377	0.5377	0.4647
132.5880	0.5288	0.5283	0.4626
132.7404	0.5244	0.5261	0.4736
132.8928	0.5266	0.5308	0.4843
133.0452	0.5296	0.5412	0.5109
133.1976	0.5335	0.5551	0.5248
133.3500	0.5448	0.5695	0.5362
133.5024	0.5506	0.5813	0.5555
133.6548	0.5525	0.5875	0.5703
133.8072	0.5536	0.5867	0.5469
133.9596	0.5524	0.5802	0.5227
134.1120	0.5519	0.5710	0.5052
134.2644	0.5498	0.5626	0.5019
134.4168	0.5462	0.5579	0.5075
134.5692	0.5439	0.5582	0.5068
134.7216	0.5450	0.5629	0.5091
134.8740	0.5441	0.5699	0.5410
135.0264	0.5394	0.5757	0.5481
135.1788	0.5354	0.5764	0.5542
135.3312	0.5307	0.5696	0.5137
135.4836	0.5176	0.5563	0.5039
135.6360	0.5074	0.5392	0.4814
135.7884	0.5039	0.5215	0.4650
135.9408	0.4938	0.5060	0.4424
136.0932	0.4845	0.4950	0.4318
136.2456	0.4819	0.4894	0.4290
