Leg 162,  Site 984, Core data type SUSCEPTIBILITY,  Log data type SUMT,
Data repicked to log depth
Linear Equation;  y = 0.139x + 78.998
       ELD      SmCore  SmLog
A    119.99    462.33   2461.70
A    120.14    459.02   2363.60
A    120.29    442.68   2619.30
A    120.45    477.24   2813.90
A    120.60    509.64   2890.60
A    120.75    542.04   2955.00
A    120.90    574.44   3105.30
A    121.06    636.72   3566.20
A    121.21    570.84   4243.10
A    121.36    696.83   4215.00
A    121.51    613.68   4319.40
A    121.66    605.01   4382.00
A    121.82    628.75   4211.90
A    121.97    660.71   3942.40
A    122.12    667.09   4110.10
A    122.27    636.06   4365.70
A    122.43    596.95   4060.80
A    122.58    566.41   3504.10
A    122.73    537.61   3262.00
A    122.88    503.96   3004.80
A    123.04    463.43   2849.30
A    123.19    431.25   2692.00
A    123.34    412.56   2643.30
A    123.49    418.71   3021.00
A    123.65    464.95   3121.90
A    123.80    535.46   3593.90
A    123.95    609.11   3980.90
A    124.10    657.83   4097.30
A    124.26    668.31   4552.60
A    124.41    656.18   4425.60
A    124.56    633.54   4200.70
A    124.71    619.69   3969.70
A    124.87    622.82   3869.40
A    125.02    639.79   3832.70
A    125.17    656.08   3774.80
A    125.32    642.87   3721.30
A    125.48    594.36   3708.20
A    125.63    540.92   3317.50
A    125.78    516.13   2872.10
A    125.93    526.60   3223.60
A    126.09    545.78   3725.10
A    126.24    532.25   3877.30
A    126.39    501.61   3660.30
A    126.54    497.69   3412.60
A    126.69    549.16   3574.40
A    126.85    639.28   4248.80
A    127.00    689.62   4324.30
A    127.15    697.48   4176.30
A    127.30    684.71   4071.70
A    127.46    683.42   4059.30
A    127.61    699.23   4090.70
A    127.76    733.17   4349.70
A    127.91    785.11   5040.20
A    128.07    856.34   5426.50
A    128.22    905.97   5728.30
A    128.37    918.36   6161.60
A    128.52    904.06   6122.30
A    128.68    882.48   6055.30
A    128.83    859.22   5794.60
A    128.98    831.96   5548.30
A    129.13    802.01   5391.10
A    129.28    769.27   4884.00
A    129.44    761.72   4517.50
A    129.59    596.75   4030.60
A    129.74    661.04   3491.60
A    129.89    570.40   3176.30
A    130.05    473.59   3081.30
A    130.20    382.83   3046.70
A    130.35    434.56   3119.30
A    130.50    646.09   3172.60
A    130.66    586.18   3291.20
A    130.81    593.97   3574.20
A    130.96    591.57   4092.20
A    131.11    595.50   4135.00
A    131.27    609.20   4078.30
A    131.42    617.29   3972.10
A    131.57    607.68   3559.40
A    131.72    574.70   3302.90
A    131.88    521.12   3096.50
A    132.03    468.61   2844.30
A    132.18    427.44   2714.90
A    132.33    403.42   2567.30
A    132.49    394.76   2188.90
A    132.64    392.75   2087.40
A    132.79    385.25   2298.80
A    132.94    376.03   2629.70
A    133.10    385.26   2605.00
A    133.25    419.14   2606.30
A    133.40    458.95   2608.40
A    133.55    486.41   2837.00
A    133.70    499.13   3403.10
A    133.86    506.07   3375.70
A    134.01    498.06   3330.70
A    134.16    478.82   3571.30
A    134.31    473.96   3527.70
A    134.47    499.09   3461.00
A    134.62    524.91   3309.00
A    134.77    518.76   3178.20
A    134.92    467.91   2917.30
A    135.08    407.91   2933.70
A    135.23    390.23   2916.70
A    135.38    415.31   2874.40
A    135.53    474.50   2954.60
A    135.69    522.17   3200.80
A    135.84    548.56   3738.40
A    135.99    574.97   4472.70
A    136.14    627.27   4656.60
A    136.30    701.75   4573.00
A    136.45    757.60   4682.60
A    136.60    772.91   4834.70
A    136.75    748.89   4897.60
A    136.90    703.47   4660.20
A    137.06    655.32   4691.70
A    137.21    631.32   4662.70
A    137.36    608.68   4231.10
A    137.51    580.03   3611.40
A    137.67    538.34   3440.20
A    137.82    506.53   3095.70
A    137.97    497.08   3160.90
A    138.12    497.75   3306.30
A    138.28    510.94   3342.00
A    138.43    532.23   3347.00
A    138.58    556.85   3291.30
A    138.73    570.31   3245.40
A    138.89    553.73   3200.30
A    139.04    549.82   2821.20
A    139.19    412.52   2465.40
A    139.34    410.06   2275.00
A    139.50    387.01   2215.30
A    139.65    365.40   2249.60
A    139.80    343.79   2500.90
A    139.95    361.80   2818.20
A    140.11    405.52   3114.60
A    140.26    548.30   3845.40
A    140.41    531.95   4247.90
A    140.56    561.22   4356.30
A    140.72    613.07   4416.30
A    140.87    699.40   4504.70
A    141.02    798.64   4598.40
A    141.17    872.25   5012.30
A    141.32    897.99   5006.60
A    141.48    872.91   4933.70
A    141.63    829.41   4962.00
A    141.78    784.98   5077.00
A    141.93    749.44   5043.60
A    142.09    739.55   4768.80
A    142.24    763.33   4415.90
A    142.39    808.16   4593.40
A    142.54    845.59   5622.70
A    142.70    870.58   5601.00
A    142.85    892.36   5582.30
A    143.00    895.63   5593.30
A    143.15    877.93   5610.10
A    143.31    822.57   5353.80
A    143.46    753.49   4504.10
