Leg 162,  Site 984, Core data type SUSCEPTIBILITY,  Log data type SUMT,
Data repicked to log depth
Linear Equation;  y = 0.139x + 78.998
       ELD      SmCore  SmLog
B    133.86    486.59   3375.70
B    134.01    482.85   3330.70
B    134.16    484.29   3571.30
B    134.31    503.05   3527.70
B    134.47    516.72   3461.00
B    134.62    500.39   3309.00
B    134.77    454.58   3178.20
B    134.92    397.10   2917.30
B    135.08    357.40   2933.70
B    135.23    363.09   2916.70
B    135.38    416.86   2874.40
B    135.53    496.84   2954.60
B    135.69    560.79   3200.80
B    135.84    579.33   3738.40
B    135.99    573.88   4472.70
B    136.14    590.54   4656.60
B    136.30    643.56   4573.00
B    136.45    701.73   4682.60
B    136.60    736.93   4834.70
B    136.75    741.04   4897.60
B    136.90    720.28   4660.20
B    137.06    684.34   4691.70
B    137.21    649.81   4662.70
B    137.36    628.42   4231.10
B    137.51    605.83   3611.40
B    137.67    568.44   3440.20
B    137.82    523.11   3095.70
B    137.97    491.81   3160.90
B    138.12    483.43   3306.30
B    138.28    489.51   3342.00
B    138.43    507.84   3347.00
B    138.58    529.40   3291.30
B    138.73    552.15   3245.40
B    138.89    557.30   3200.30
B    139.04    534.63   2821.20
B    139.19    496.26   2465.40
B    139.34    458.86   2275.00
B    139.50    427.77   2215.30
B    139.65    407.20   2249.60
B    139.80    402.26   2500.90
B    139.95    423.62   2818.20
B    140.11    476.95   3114.60
B    140.26    530.54   3845.40
B    140.41    562.44   4247.90
B    140.56    583.74   4356.30
B    140.72    626.97   4416.30
B    140.87    713.00   4504.70
B    141.02    830.30   4598.40
B    141.17    975.10   5012.30
B    141.32    987.12   5006.60
B    141.48    879.91   4933.70
B    141.63    879.76   4962.00
B    141.78    879.61   5077.00
B    141.93    879.45   5043.60
B    142.09    879.29   4768.80
B    142.24    879.13   4415.90
B    142.39    898.97   4593.40
B    142.54    761.11   5622.70
B    142.70    858.07   5601.00
B    142.85    870.19   5582.30
B    143.00    871.72   5593.30
B    143.15    850.22   5610.10
B    143.31    782.51   5353.80
B    143.46    715.50   4504.10
B    143.61    665.84   4034.90
B    143.76    630.00   3766.90
B    143.92    596.78   3780.70
B    144.07    568.54   3782.30
B    144.22    559.05   3867.30
B    144.37    567.19   3871.00
B    144.52    561.49   3528.70
B    144.68    512.60   3281.90
B    144.83    454.96   3041.30
B    144.98    420.54   2709.60
B    145.14    416.78   2578.50
B    145.29    427.06   2522.00
B    145.44    438.69   2391.70
B    145.59    445.37   2354.70
B    145.74    451.07   2464.60
B    145.90    474.11   2724.60
B    146.05    523.09   3137.90
B    146.20    603.90   3812.10
B    146.35    702.62   4662.00
B    146.51    802.48   4978.30
B    146.66    854.77   5234.70
B    146.81    851.11   5307.00
B    146.96    800.79   5261.20
B    147.12    723.22   4919.00
B    147.27    658.37   4222.90
B    147.42    614.71   3694.80
B    147.57    598.95   3638.40
B    147.73    600.59   3730.00
B    147.88    623.19   3877.70
B    148.03    658.38   3856.30
B    148.18    686.52   3710.20
B    148.34    676.99   3532.70
B    148.49    624.16   3391.30
B    148.64    547.83   3384.30
B    148.79    483.94   3347.00
B    148.94    469.18   3235.70
B    149.10    509.27   3176.30
B    149.25    569.57   3543.80
B    149.40    603.86   3941.60
B    149.55    596.19   3799.90
B    149.71    557.59   3484.50
B    149.86    519.16   3314.60
B    150.01    504.68   3123.40
B    150.16    506.48   3115.00
B    150.32    524.94   3178.00
B    150.47    544.34   3199.30
B    150.62    610.33   3165.60
B    150.77    684.55   3047.00
B    150.93    404.58   3201.70
B    151.08    386.48   3319.00
B    151.23    407.81   3287.70
B    151.38    429.14   3495.10
B    151.54    451.89   3775.30
B    151.69    473.21   3837.30
B    151.84    547.51   3809.30
B    151.99    514.53   3800.70
B    152.14    385.86   3400.30
B    152.30    466.68   2981.80
B    152.45    484.21   2973.30
B    152.60    510.80   3028.10
B    152.76    525.45   3303.00
B    152.91    513.77   3278.00
B    153.06    495.09   3289.00
B    153.21    497.52   3318.40
B    153.36    541.29   3394.60
B    153.52    602.16   3390.50
B    153.67    638.24   4206.80
B    153.82    659.42   4024.30
B    153.97    673.44   4009.30
B    154.13    681.29   3995.30
B    154.28    655.16   3920.00
B    154.43    590.12   3612.70
B    154.58    512.40   2999.80
B    154.74    451.40   2392.90
B    154.89    429.20   2721.30
B    155.04    434.98   2747.70
B    155.19    442.63   2839.30
B    155.35    451.94   2823.00
B    155.50    474.52   3017.70
B    155.65    528.89   3203.90
B    155.80    597.03   3449.10
B    155.95    639.16   3956.80
B    156.11    636.70   3756.30
B    156.26    600.24   3574.70
B    156.41    570.47   3501.00
B    156.56    561.13   3441.60
B    156.72    575.81   3400.30
B    156.87    595.31   3469.80
B    157.02    607.06   3460.70
B    157.17    601.42   3551.00
B    157.33    571.69   3540.00
B    157.48    546.89   3545.80
B    157.63    552.08   3549.70
B    157.78    602.59   3501.20
B    157.94    652.93   3394.70
B    158.09    667.77   3970.70
B    158.24    657.21   3956.40
B    158.39    643.94   3683.30
B    158.55    620.21   3488.60
B    158.70    580.25   3333.10
B    158.85    525.09   3047.90
B    159.00    462.74   2716.70
B    159.16    417.11   2598.30
B    159.31    413.94   2546.00
B    159.46    447.43   2467.90
B    159.61    483.53   2670.90
B    159.76    495.07   3203.70
B    159.92    494.97   3596.50
B    160.07    493.14   3912.00
B    160.22    711.90   3767.40
B    160.38    595.32   4305.00
B    160.53    560.30   4475.30
B    160.68    538.36   4463.70
B    160.83    516.43   4378.90
B    160.98    494.49   4035.70
B    161.14    471.09   3394.60
B    161.29    381.83   3334.70
B    161.44    485.00   3219.20
B    161.59    404.30   2515.90
B    161.75    369.43   2378.30
B    161.90    339.58   2332.70
B    162.05    313.59   2124.00
B    162.20    286.69   1768.90
B    162.36    261.06   1588.70
B    162.51    254.50   1597.30
B    162.66    270.96   1626.40
B    162.81    307.31   1665.40
B    162.97    354.60   1840.80
B    163.12    390.08   2088.10
B    163.27    407.39   2494.60
B    163.42    407.32   2605.30
B    163.57    397.82   2527.40
B    163.73    379.07   2411.20
B    163.88    369.74   2382.90
B    164.03    377.58   2610.00
B    164.18    415.40   2925.70
B    164.34    479.80   3111.00
B    164.49    534.03   3718.10
B    164.64    567.42   3876.00
B    164.79    581.71   3772.00
B    164.95    583.47   3688.40
B    165.10    574.89   3659.60
B    165.25    557.05   3551.00
B    165.40    548.15   3524.70
B    165.56    561.87   3536.70
B    165.71    584.17   3802.30
B    165.86    606.05   3819.30
B    166.01    624.07   3795.20
B    166.17    634.81   3763.70
B    166.32    631.04   3788.30
B    166.47    628.04   3887.10
B    166.62    646.12   4056.60
B    166.78    690.97   4010.30
B    166.93    707.13   3884.40
B    167.08    672.39   3627.60
B    167.23    602.98   3419.40
B    167.39    514.58   3302.60
B    167.54    446.45   2917.80
B    167.69    405.85   2616.80
B    167.84    396.12   2093.50
B    168.00    422.44   2373.30
B    168.15    485.03   3082.90
B    168.30    577.72   3780.00
B    168.45    677.94   4224.40
B    168.60    737.50   4495.60
B    168.76    736.02   4652.00
B    168.91    691.64   4759.00
B    169.06    645.11   4702.90
B    169.21    622.14   4302.80
B    169.37    613.92   4096.30
B    169.52    441.98   4110.30
B    169.67    496.28   4042.70
B    169.82    738.12   3983.00
B    169.98    609.34   3885.70
B    170.13    609.87   3692.90
B    170.28    610.40   3094.70
B    170.43    610.93   3294.30
B    170.59    611.49   3281.00
B    170.74    612.02   3169.70
B    170.89    612.55   3121.70
B    171.04    613.08   3495.40
B    171.19    613.61   3994.10
B    171.35    623.62   3924.00
B    171.50    255.61   4249.20
B    171.65    768.08   4315.70
B    171.80    722.51   4299.00
B    171.96    785.45   5518.30
B    172.11    822.69   6060.70
B    172.26    869.27   6241.30
B    172.41    912.29   6061.30
B    172.57    916.19   5899.00
B    172.72    899.92   6023.60
B    172.87    847.32   5842.30
B    173.02    797.81   5158.00
B    173.18    777.49   4968.40
B    173.33    781.26   4827.60
B    173.48    771.96   4566.40
B    173.63    730.42   4404.30
B    173.79    663.94   4507.60
B    173.94    627.57   4333.30
B    174.09    639.81   4288.70
B    174.24    701.19   4426.00
B    174.40    775.95   4534.40
B    174.55    812.11   4883.00
B    174.70    799.74   5122.50
B    174.85    760.23   4556.80
B    175.01    712.40   3925.40
B    175.16    652.78   4007.00
B    175.31    591.79   3808.00
B    175.46    566.35   3780.10
B    175.62    582.46   3780.00
B    175.77    628.68   3865.30
B    175.92    677.67   4475.00
B    176.07    712.10   4694.70
B    176.22    728.14   4725.00
B    176.38    733.06   4704.40
B    176.53    731.53   4789.60
B    176.68    734.26   4826.90
B    176.83    736.81   5045.00
B    176.99    746.55   5363.50
B    177.14    761.77   5610.60
B    177.29    878.72   6114.00
B    177.44    939.47   6118.70
B    177.60    918.64   6021.30
B    177.75    868.73   5750.40
B    177.90    781.48   5018.60
B    178.05    677.42   4442.90
B    178.21    590.53   4033.70
B    178.36    564.96   3806.60
B    178.51    573.27   3760.70
B    178.66    591.44   3762.10
B    178.81    615.68   4387.90
B    178.97    644.25   4841.60
B    179.12    671.82   4573.40
B    179.27    698.11   4307.60
B    179.42    722.52   4155.80
B    179.58    744.22   4074.30
B    179.73    741.00   4185.00
B    179.88    754.70   4265.00
B    180.03    810.12   3996.00
B    180.19    820.03   4017.70
B    180.34    846.67   4244.60
B    180.49    841.44   4009.40
B    180.64    740.53   3638.70
B    180.80    547.25   3503.70
B    180.95    482.64   3565.00
B    181.10    469.14   3713.60
B    181.25    549.95   3716.00
B    181.41    657.28   4132.00
B    181.56    716.34   4664.00
B    181.71    759.61   4717.00
B    181.86    774.97   4655.30
B    182.02    761.82   4531.90
B    182.17    719.98   4283.70
B    182.32    656.22   4250.60
B    182.47    605.16   4038.00
B    182.63    599.95   3867.30
B    182.78    645.89   3842.70
B    182.93    703.40   4108.10
B    183.08    736.08   4739.50
B    183.24    737.14   4899.30
B    183.39    722.17   4865.70
B    183.54    716.03   4822.80
B    183.69    724.26   4794.30
B    183.84    743.84   4708.70
B    184.00    761.21   4618.00
B    184.15    758.89   4609.60
B    184.30    737.38   4379.30
B    184.45    712.49   4417.00
B    184.61    697.25   4545.40
B    184.76    704.32   4888.60
B    184.91    740.36   5275.30
B    185.06    802.17   5257.50
B    185.22    869.06   5346.30
B    185.37    872.31   5525.60
B    185.52    815.61   5484.70
B    185.67    742.67   5162.40
B    185.83    699.07   4526.70
B    185.98    687.33   4510.00
B    186.13    686.61   4370.40
B    186.28    679.66   3872.60
B    186.43    649.34   3688.00
B    186.59    570.25   3497.90
B    186.74    471.11   3146.10
B    186.89    404.07   2575.40
B    187.04    400.15   2407.40
B    187.20    473.09   2998.70
B    187.35    601.17   3509.80
B    187.50    712.43   3698.30
B    187.65    709.72   4275.90
B    187.81    702.40   4949.80
B    187.96    695.53   5568.90
B    188.11    688.67   5237.70
B    188.26    681.80   5060.40
B    188.42    674.48   5176.80
B    188.57    667.61   5453.30
B    188.72    660.75   5401.70
B    188.87    653.88   5206.70
B    189.03    724.28   4962.70
B    189.18    759.67   4633.00
B    189.33    780.69   3801.00
B    189.48    693.27   3462.00
B    189.64    604.54   3225.90
B    189.79    521.36   3029.70
B    189.94    438.18   2912.00
B    190.09    355.00   3058.30
B    190.25    548.32   3028.40
B    190.40    681.74   3238.00
B    190.55    749.43   4292.70
B    190.70    773.28   4726.00
B    190.86    810.79   5066.40
B    191.01    840.13   5344.20
B    191.16    862.37   5473.70
B    191.31    876.84   5593.30
B    191.46    879.46   5645.70
B    191.62    869.07   5675.30
B    191.77    847.24   5538.00
B    191.92    813.12   5159.90
B    192.07    770.39   4594.40
B    192.23    713.15   4307.40
B    192.38    657.15   4112.00
B    192.53    607.99   3948.30
B    192.68    568.25   3891.00
B    192.84    562.12   4108.70
B    192.99    599.40   4336.40
B    193.14    672.77   4701.00
B    193.29    749.74   5328.40
B    193.45    794.59   5374.30
B    193.60    807.60   5368.00
B    193.75    807.47   5295.00
B    193.90    821.62   5173.10
B    194.05    844.48   5420.60
B    194.21    859.46   5686.90
B    194.36    863.22   5579.70
B    194.51    864.14   5217.00
B    194.66    871.19   4950.10
B    194.82    880.25   4703.00
B    194.97    876.12   4605.40
B    195.12    838.20   4243.40
B    195.27    766.09   3872.80
B    195.43    671.77   3449.70
B    195.58    600.73   3495.10
B    195.73    576.81   3765.30
B    195.88    612.24   3546.20
B    196.04    656.30   3107.80
B    196.19    655.71   3000.30
B    196.34    611.54   2942.40
B    196.49    534.99   2622.60
B    196.65    457.39   2393.40
B    196.80    425.78   2590.40
B    196.95    441.23   2818.20
B    197.10    506.38   2865.80
B    197.26    568.84   2869.60
B    197.41    550.00   3565.60
B    197.56    537.72   3759.40
B    197.71    540.55   3745.20
B    197.87    569.40   3722.50
B    198.02    620.58   4414.20
B    198.17    685.86   5302.30
B    198.32    748.22   5229.60
B    198.48    792.04   4647.30
B    198.63    798.52   4216.00
B    198.78    751.54   4055.00
B    198.93    666.16   4048.50
B    199.08    821.86   3810.50
B    199.24    659.93   3646.60
B    199.39    639.61   3994.60
B    199.54    619.29   4284.40
B    199.69    598.97   4374.70
B    199.85    589.26   4264.80
B    200.00    674.02   4277.30
B    200.15    642.87   4225.60
B    200.30    603.82   4037.70
B    200.46    557.54   3441.90
B    200.61    517.35   3008.50
B    200.76    480.96   2990.60
B    200.91    467.82   3064.60
B    201.07    501.89   3228.50
B    201.22    563.87   3366.60
B    201.37    634.32   3650.00
B    201.52    688.61   4320.10
B    201.67    712.51   4664.10
B    201.83    702.91   4567.00
B    201.98    660.08   4340.80
B    202.13    600.48   4188.60
B    202.28    553.06   3846.70
B    202.44    527.85   3601.90
B    202.59    529.82   3559.80
B    202.74    543.60   3756.70
B    202.89    572.23   4381.50
B    203.05    626.00   4700.00
B    203.20    686.37   5210.60
B    203.35    736.98   5353.30
B    203.50    770.15   5359.70
B    203.66    778.74   5380.50
B    203.81    776.79   5400.70
B    203.96    772.56   5390.80
B    204.11    770.75   5204.20
B    204.27    774.55   5243.00
B    204.42    779.73   5242.90
B    204.57    780.44   5095.80
B    204.72    777.43   4966.30
B    204.88    762.42   4759.40
B    205.03    722.64   4432.60
B    205.18    668.37   4120.20
B    205.33    626.44   3432.40
B    205.49    601.22   3074.70
B    205.64    580.89   3065.00
B    205.79    563.17   3089.70
B    205.94    561.61   3186.70
B    206.10    577.20   3326.40
B    206.25    605.41   3559.90
B    206.40    638.21   4034.70
B    206.55    665.79   4098.10
B    206.70    686.41   4116.00
B    206.86    698.29   4313.30
B    207.01    706.14   4257.70
B    207.16    710.48   4363.60
B    207.31    709.01   4356.70
B    207.47    705.65   4107.30
B    207.62    700.33   4051.30
B    207.77    692.63   4048.70
B    207.92    677.62   4002.40
B    208.08    665.15   3838.90
B    208.23    482.11   3471.40
B    208.38    544.76   3123.20
B    208.53    562.84   3024.70
B    208.69    582.13   2857.30
B    208.84    600.21   2834.10
B    208.99    618.29   3035.60
B    209.14    636.38   3285.50
B    209.29    684.52   3738.80
B    209.45    694.02   4371.00
B    209.60    733.82   4706.60
B    209.75    730.76   4795.10
B    209.90    721.37   4872.60
B    210.06    694.79   5033.00
B    210.21    686.71   5226.80
B    210.36    728.35   5246.70
B    210.51    782.73   5260.10
B    210.67    801.91   4943.90
B    210.82    780.64   5371.60
B    210.97    767.57   5430.30
B    211.12    773.02   4944.70
B    211.28    771.60   4567.30
B    211.43    758.67   4684.30
B    211.58    740.63   4889.90
B    211.73    747.90   4971.40
B    211.89    794.85   5255.10
B    212.04    850.03   5259.30
B    212.19    880.67   5328.10
B    212.34    871.44   4997.30
B    212.50    813.61   4717.70
B    212.65    746.78   4350.00
B    212.80    686.46   4215.30
B    212.95    652.72   4017.30
B    213.11    654.28   3855.10
B    213.26    675.30   3811.70
B    213.41    700.28   4133.10
B    213.56    719.32   4403.00
B    213.72    734.07   4432.20
B    213.87    738.42   4342.90
B    214.02    731.74   4350.00
B    214.17    712.92   4316.30
B    214.32    690.22   4309.20
B    214.48    675.90   4227.50
B    214.63    678.39   4068.00
B    214.78    687.39   3953.00
B    214.93    681.79   3874.40
B    215.09    649.17   3757.50
B    215.24    601.83   3384.40
B    215.39    551.40   2892.50
B    215.54    500.97   2744.00
B    215.70    455.92   2706.20
B    215.85    436.97   2513.70
B    216.00    443.91   2417.40
B    216.15    460.35   2498.60
B    216.31    472.04   2855.30
B    216.46    480.72   2989.10
B    216.61    484.25   2838.20
B    216.76    465.38   2735.00
B    216.91    411.29   2703.00
B    217.07    319.23   2651.30
B    217.22    241.59   2600.70
B    217.37     87.45   2445.40
B    217.52    228.22   2182.20
B    217.68    292.87   2340.00
B    217.83    261.99   2745.20
B    217.98    376.31   2952.80
B    218.13    490.65   3003.60
B    218.29    562.44   3056.00
B    218.44    612.62   3222.20
B    218.59    563.21   3858.50
B    218.74    612.55   4078.30
B    218.90    640.53   3943.20
B    219.05    660.89   3855.10
B    219.20    652.14   3805.30
B    219.35    613.66   3749.20
B    219.51    560.78   3732.30
B    219.66    524.26   3591.90
B    219.81    503.86   3172.90
B    219.96    500.35   3148.50
B    220.12    513.61   3037.70
B    220.27    531.52   3096.20
B    220.42    545.79   3346.70
B    220.57    546.23   3472.30
B    220.73    542.21   3529.20
B    220.88    543.62   3540.70
B    221.03    554.59   3506.00
B    221.18    570.53   3393.90
B    221.34    579.74   3309.10
B    221.49    566.41   3240.50
B    221.64    526.37   3026.90
B    221.79    472.81   2456.50
B    221.94    427.67   2195.40
B    222.10    406.88   2339.40
B    222.25    406.17   2406.20
B    222.40    411.31   2409.80
B    222.55    416.23   2308.00
B    222.71    419.80   2389.00
B    222.86    421.93   2464.20
B    223.01    421.48   2747.10
B    223.16    427.71   3111.40
B    223.32    444.12   3570.10
B    223.47    474.06   3683.60
B    223.62    518.17   3740.20
B    223.77    574.83   3956.10
B    223.93    645.73   4709.90
B    224.08    708.89   4924.60
B    224.23    764.14   4958.00
B    224.38    800.26   4785.00
B    224.53    822.29   4786.10
B    224.69    835.23   4829.40
B    224.84    842.92   4929.40
B    224.99    845.85   4720.10
B    225.14    844.46   4558.30
B    225.30    832.49   4410.00
B    225.45    818.71   4349.30
B    225.60    809.09   4274.40
B    225.75    807.78   4138.70
B    225.91    813.79   4074.00
B    226.06    817.75   4053.60
B    226.21    814.44   4068.00
B    226.36    798.42   4218.00
B    226.52    765.59   4354.30
B    226.67    727.29   4222.20
B    226.82    688.64   3944.40
B    226.97    592.88   3634.90
B    227.13    674.00   3291.40
B    227.28    623.62   3234.00
B    227.43    419.19   3314.00
B    227.58    214.79   3496.20
B    227.74    578.09   3763.50
B    227.89    645.81   3904.00
B    228.04    644.22   4146.90
B    228.19    647.32   4313.10
B    228.35    626.67   4225.50
B    228.50    596.43   3985.30
B    228.65    562.48   3705.50
B    228.80    527.26   3244.20
B    228.95    488.68   2827.90
B    229.11    441.26   2485.10
B    229.26    393.21   2345.40
B    229.41    350.56   2196.70
B    229.56    325.44   1963.00
B    229.72    321.91   1984.20
B    229.87    337.46   2121.40
B    230.02    357.88   2376.10
B    230.17    375.09   2613.30
B    230.33    395.63   2576.80
B    230.48    420.00   2506.20
B    230.63    442.08   2578.70
B    230.78    450.00   2664.70
B    230.94    438.32   2774.00
B    231.09    426.47   2800.00
B    231.24    436.15   2731.80
B    231.39    481.15   2739.70
B    231.55    544.81   3252.50
B    231.70    587.96   3627.50
B    231.85    613.16   4230.20
B    232.00    640.59   4283.60
B    232.15    688.07   4262.70
B    232.31    740.51   4212.40
B    232.46    768.65   4506.10
B    232.61    751.17   4483.70
B    232.76    705.88   4462.80
B    232.92    661.03   4314.80
B    233.07    668.10   3534.10
B    233.22    719.55   4464.80
B    233.37    752.50   4666.10
B    233.53    727.54   4437.60
B    233.68    672.37   4207.10
B    233.83    651.82   3666.00
B    233.98    684.26   4175.00
B    234.14    728.89   4331.80
B    234.29    744.53   4346.60
B    234.44    727.90   4268.60
B    234.59    687.49   3970.90
B    234.75    660.16   4031.30
B    234.90    656.43   3914.30
B    235.05    684.47   4234.60
B    235.20    723.11   4560.50
B    235.36    742.23   4449.00
B    235.51    739.54   4390.00
B    235.66    724.54   4376.50
B    235.81    714.62   4218.70
B    235.97    718.10   4536.50
B    236.12    728.48   4671.40
B    236.27    778.13   4454.20
B    236.42    700.00   4217.00
B    236.57    593.31   3982.40
B    236.73    603.32   3781.10
B    236.88    622.72   3513.40
B    237.03    586.11   3063.20
B    237.18    385.71   2505.90
B    237.34    371.65   2141.80
B    237.49    354.12   1939.80
B    237.64    354.48   1922.80
B    237.79    363.60   2013.70
B    237.95    392.56   2311.20
B    238.10    437.40   2706.10
B    238.25    495.72   3286.00
B    238.40    557.17   3747.60
B    238.56    617.98   3954.80
B    238.71    661.46   4047.10
B    238.86    692.70   4322.70
B    239.01    715.71   4606.80
B    239.17    730.34   4634.30
B    239.32    734.19   4671.70
B    239.47    728.01   4611.40
B    239.62    716.90   4696.00
B    239.77    705.32   4487.20
B    239.93    687.82   4343.60
B    240.08    671.82   4171.10
B    240.23    646.09   3723.30
B    240.39    602.96   3562.10
B    240.54    549.45   3342.80
B    240.69    496.63   3074.80
B    240.84    460.07   2787.30
B    240.99    443.81   2571.30
B    241.15    442.70   2642.40
B    241.30    453.42   2825.40
B    241.45    471.70   2949.40
B    241.60    499.89   3041.70
B    241.76    530.56   3229.30
B    241.91    553.57   3542.80
B    242.06    567.72   3752.40
B    242.21    579.95   3711.30
B    242.37    593.98   3687.70
B    242.52    605.42   3731.20
B    242.67    607.40   3781.20
B    242.82    601.60   3802.80
B    242.98    591.27   3644.40
B    243.13    583.50   3366.40
B    243.28    578.00   3019.80
B    243.43    566.33   2805.60
B    243.59    539.33   2665.80
B    243.74    495.89   2428.20
B    243.89    442.28   2070.20
B    244.04    389.69   1779.90
B    244.19    351.58   1722.00
B    244.35    330.00   1861.60
B    244.50    323.70   2102.10
B    244.65    324.62   2327.00
B    244.80    313.99   2452.70
B    244.96    329.63   2680.30
B    245.11    354.00   3380.90
B    245.26    333.75   3728.60
B    245.41    362.69   3786.50
B    245.57    393.56   3731.00
B    245.72    422.50   3757.50
B    245.87    625.01   4087.20
B    246.02    449.31   4151.10
B    246.18    404.12   4257.40
B    246.33    663.31   4285.00
B    246.48    700.76   4299.30
B    246.63    712.48   4195.50
B    246.79    694.26   4353.60
B    246.94    656.08   4742.00
B    247.09    612.30   4683.60
B    247.24    573.97   4477.00
B    247.39    551.85   4308.20
B    247.55    554.68   4028.70
B    247.70    577.16   4100.30
B    247.85    602.21   4362.00
B    248.01    620.82   4560.60
B    248.16    640.55   4322.00
B    248.31    655.59   4158.00
B    248.46    669.80   4054.70
B    248.61    670.98   3726.10
B    248.77    647.35   3515.40
B    248.92    617.51   3286.80
B    249.07    568.90   3494.10
B    249.22    520.64   3728.00
B    249.38    491.63   4101.40
B    249.53    504.80   4759.20
B    249.68    563.43   5158.30
B    249.83    642.97   5217.70
B    249.99    714.69   5398.80
C     88.44    644.53   3661.00
C     88.59    598.70   3858.00
C     88.75    524.17   4098.50
C     88.90    486.92   3702.60
C     89.05    507.10   3238.80
C     89.20    541.70   3655.30
C     89.36    550.28   3941.20
C     89.51    555.46   3912.30
C     89.66    590.79   4269.60
C     89.81    659.56   4597.20
C     89.97    707.92   4618.00
C     90.12    704.55   4790.40
C     90.27    652.40   4395.50
C     90.42    590.43   4236.40
C     90.58    547.92   4056.00
C     90.73    531.84   3671.70
C     90.88    536.43   3607.10
C     91.03    547.57   3939.40
C     91.19    573.90   4182.00
C     91.34    606.56   4015.70
C     91.49    622.13   3875.80
C     91.64    597.86   3833.60
C     91.80    533.98   3705.50
C     91.95    464.92   3405.30
C     92.10    414.36   3062.80
C     92.25    392.08   2691.80
C     92.40    390.39   2483.40
C     92.56    396.62   2372.30
C     92.71    393.59   2357.90
C     92.86    367.36   2435.30
C     93.01    328.18   2489.10
C     93.17    306.69   2429.00
C     93.32    322.94   2412.20
C     93.47    393.76   2701.90
C     93.62    490.35   2837.40
C     93.78    424.87   3135.50
C     93.93    363.69   3138.70
C     94.08    350.98   3141.30
C     94.23    338.35   3140.10
C     94.39    325.64   2985.80
C     94.54    313.02   2809.60
C     94.69    300.39   3115.60
C     94.84    308.57   2876.40
C     95.00    394.81   2831.70
C     95.15    634.88   2779.40
C     95.30    521.47   3216.10
C     95.45    541.02   3741.90
C     95.61    589.98   3699.50
C     95.76    656.17   3719.20
C     95.91    699.65   3830.00
C     96.06    688.31   4011.20
C     96.21    647.15   4112.80
C     96.37    616.56   4021.90
C     96.52    615.59   3834.90
C     96.67    635.97   3631.70
C     96.82    663.93   3654.10
C     96.98    689.37   3757.10
C     97.13    697.70   3612.70
C     97.28    682.45   3570.30
C     97.43    640.86   3711.50
C     97.59    589.87   3617.50
C     97.74    542.70   3153.20
C     97.89    514.27   2702.50
C     98.04    499.69   2617.20
C     98.20    480.94   2989.30
C     98.35    461.27   2832.80
C     98.50    458.38   2582.90
C     98.65    479.62   2551.40
C     98.81    490.29   2655.00
C     98.96    460.02   2797.50
C     99.11    408.13   2507.50
C     99.26    369.23   2084.30
C     99.42    353.25   2007.00
C     99.57    337.82   2129.50
C     99.72    320.45   2149.70
C     99.87    322.62   2318.70
C    100.02    366.52   2384.00
C    100.18    433.16   2478.20
C    100.33    492.62   2830.80
C    100.48    530.56   3249.60
C    100.63    555.35   3511.80
C    100.79    593.00   3873.20
C    100.94    629.39   3774.70
C    101.09    651.24   3745.80
C    101.24    653.38   3903.50
C    101.40    662.59   4188.90
C    101.55    686.98   4489.40
C    101.70    720.05   4541.20
C    101.85    748.96   4605.90
C    102.01    752.94   4562.30
C    102.16    736.50   4419.80
C    102.31    709.06   4379.60
C    102.46    681.68   4376.40
C    102.62    651.88   3968.60
C    102.77    619.47   3511.60
C    102.92    583.41   3538.30
C    103.07    567.76   3602.70
C    103.23    578.14   3475.10
C    103.38    603.47   3283.70
C    103.53    739.01   3131.70
C    103.68    633.92   3206.50
C    103.83    552.90   3349.40
C    103.99    508.78   2851.20
C    104.14    454.72   2427.10
C    104.29    411.60   2419.40
C    104.44    382.85   2325.30
C    104.60    365.99   2165.00
C    104.75    362.71   2104.80
C    104.90    371.46   2318.20
C    105.05    386.92   2397.40
C    105.21    408.51   2579.60
C    105.36    428.06   2669.30
C    105.51    449.77   2645.20
C    105.66    466.63   2575.10
C    105.82    468.64   2710.00
C    105.97    453.11   2652.10
C    106.12    432.41   2505.20
C    106.27    420.20   2412.30
C    106.42    411.79   2184.70
C    106.58    388.70   2061.00
C    106.73    354.80   2290.00
C    106.88    334.86   2226.40
C    107.03    348.40   2253.20
C    107.19    400.99   2236.70
C    107.34    457.37   2392.90
C    107.49    488.06   2881.70
C    107.64    489.23   3133.60
C    107.80    471.68   2788.80
C    107.95    455.49   2560.00
C    108.10    436.27   2496.00
C    108.25    409.56   2416.30
C    108.41    376.65   2136.60
C    108.56    352.93   1986.70
C    108.71    337.20   2124.60
C    108.86    334.13   2170.70
C    109.02    350.06   2199.00
C    109.17    384.13   2125.60
C    109.32    422.55   2314.90
C    109.47    446.73   2565.40
C    109.63    451.21   2401.60
C    109.78    441.84   1904.70
C    109.93    419.10   1806.40
C    110.08    376.33   1841.00
C    110.24    315.75   1905.40
C    110.39    278.05   1724.40
C    110.54    287.82   1555.20
C    110.69    340.06   1836.70
C    110.85    412.02   2176.80
C    111.00    467.41   2829.40
C    111.15    508.10   3158.40
C    111.30    531.50   3325.60
C    111.45    542.56   3314.70
C    111.61    547.79   3276.70
C    111.76    551.10   3392.00
C    111.91    550.06   3425.10
C    112.06    601.52   3326.30
C    112.22    599.97   3109.10
C    112.37    520.52   2614.20
C    112.52    507.83   2577.00
C    112.67    498.10   2460.00
C    112.83    449.00   2425.70
C    112.98    472.15   2602.40
C    113.13    498.30   2816.40
C    113.28    542.51   2951.20
