HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	CALI

167.6396	13.9509
167.7920	13.9587
167.9444	13.9543
168.0968	13.9538
168.2492	13.9572
168.4016	13.9591
168.5540	13.9621
168.7064	13.9914
168.8588	14.0139
169.0112	14.0566
169.1636	14.1366
169.3160	14.2268
169.4684	14.2698
169.6208	14.2992
169.7732	14.3738
169.9256	14.5276
170.0780	14.7783
170.2304	14.9007
170.3828	14.9912
170.5352	15.0642
170.6876	15.0773
170.8400	15.0784
170.9924	15.0814
171.1448	15.0820
171.2972	15.0776
171.4496	15.0832
171.6020	15.0857
171.7544	15.0792
171.9068	15.0798
172.0592	15.0803
172.2116	15.0785
172.3640	15.0791
172.5164	15.0799
172.6688	15.0814
172.8212	15.0709
172.9736	15.0700
173.1260	15.0623
173.2784	15.0442
173.4308	15.0481
173.5832	15.0522
173.7356	15.0456
173.8880	15.0447
174.0404	15.0485
174.1928	15.0480
174.3452	15.0483
174.4976	15.0476
174.6500	15.0474
174.8024	15.0384
174.9548	15.0219
175.1072	15.0158
175.2596	15.0142
175.4120	15.0191
175.5644	15.0203
175.7168	15.0176
175.8692	15.0206
176.0216	15.0172
176.1740	15.0155
176.3264	15.0147
176.4788	15.0205
176.6312	15.0220
176.7836	15.0146
176.9360	15.0156
177.0884	15.0145
177.2408	15.0176
177.3932	15.0224
177.5456	15.0158
177.6980	15.0358
177.8504	15.1031
178.0028	15.1879
178.1552	15.2599
178.3076	15.2830
178.4600	15.2834
178.6124	15.2882
178.7648	15.2882
178.9172	15.2928
179.0696	15.3365
179.2220	15.3840
179.3744	15.3886
179.5268	15.4038
179.6792	15.4664
179.8316	15.5250
179.9840	15.5239
180.1364	15.5480
180.2888	15.5911
180.4412	15.5962
180.5936	15.6203
180.7460	15.7190
180.8984	15.7961
181.0508	15.7986
181.2032	15.7997
181.3556	15.7932
181.5080	15.7773
181.6604	15.7754
181.8128	15.7941
181.9652	15.7991
182.1176	15.7954
182.2700	15.7988
182.4224	15.7748
182.5748	15.7334
182.7272	15.7334
182.8796	15.7296
183.0320	15.7334
183.1844	15.7097
183.3368	15.6699
183.4892	15.6638
183.6416	15.6568
183.7940	15.6597
183.9464	15.6436
184.0988	15.5681
184.2512	15.4836
184.4036	15.4836
184.5560	15.4441
184.7084	15.3567
184.8608	15.3465
185.0132	15.3397
185.1656	15.3216
185.3180	15.3223
185.4704	15.3229
185.6228	15.3201
185.7752	15.3182
185.9276	15.2949
186.0800	15.1782
186.2324	15.0471
186.3848	15.0111
186.5372	14.9266
186.6896	14.9126
186.8420	14.9078
186.9944	14.9153
187.1468	14.9119
187.2992	14.9154
187.4516	14.9149
187.6040	14.9111
187.7564	14.9135
187.9088	14.9076
188.0612	14.9180
188.2136	14.9124
188.3660	14.9112
188.5184	14.9095
188.6708	14.9125
188.8232	14.9117
188.9756	14.8564
189.1280	14.7432
189.2804	14.9749
189.4328	14.9889
189.5852	15.0745
189.7376	15.2896
189.8900	15.3770
190.0424	15.4315
190.1948	15.5227
190.3472	15.6558
190.4996	15.6726
190.6520	15.7035
190.8044	15.8213
190.9568	15.8312
191.1092	15.8329
191.2616	15.8147
191.4140	15.7147
191.5664	15.6873
191.7188	15.6088
191.8712	15.5108
192.0236	15.4402
192.1760	15.4214
192.3284	15.4251
192.4808	15.4198
192.6332	15.4164
192.7856	15.4198
192.9380	15.4225
193.0904	15.4269
193.2428	15.4141
193.3952	15.4205
193.5476	15.4191
193.7000	15.3535
193.8524	14.9775
194.0048	14.9243
194.1572	14.9328
194.3096	14.9199
194.4620	14.9244
194.6144	14.9224
194.7668	14.9318
194.9192	14.9301
195.0716	14.9229
195.2240	14.9469
195.3764	14.9493
195.5288	15.0272
195.6812	15.0688
195.8336	15.0818
195.9860	15.0869
196.1384	15.1987
196.2908	15.2155
196.4432	15.2155
196.5956	15.2424
196.7480	15.3200
196.9004	15.3864
197.0528	15.3901
197.2052	15.3878
197.3576	15.3929
197.5100	15.3745
197.6624	15.0137
197.8148	14.9827
197.9672	14.9843
198.1196	14.9958
198.2720	15.0339
198.4244	15.0448
198.5768	15.1339
198.7292	15.2527
198.8816	15.3892
199.0340	15.6189
199.1864	15.6918
199.3388	15.7526
199.4912	15.8915
199.6436	15.9113
199.7960	15.9674
199.9484	16.0169
200.1008	16.0100
200.2532	16.0071
200.4056	16.0201
200.5580	16.0340
200.7104	16.0527
200.8628	16.0438
201.0152	16.0383
201.1676	16.0288
201.3200	15.8308
201.4724	15.6983
201.6248	15.5378
201.7772	15.4791
201.9296	15.4138
202.0820	15.4207
202.2344	15.4259
202.3868	15.4099
202.5392	15.4290
202.6916	15.3882
202.8440	15.3349
202.9964	15.2968
203.1488	15.1791
