Site,Hole,Core,Core Type,Depth CSF (m),Depth CCSF (m),Cumulative Offset (m),Differential Offset (m),Growth Rate,Shift Type,Fixed Core,Fixed Tie CSF,Shifted Tie CSF,Data Used,Quality Comment
U1390,A,1,H,0,0,0,0,0,REL,,,,,
U1390,A,2,H,3.6,3.6,0,0,1,REL,,,,,
U1390,A,3,H,13.1,13.1,0,0,1,REL,,,,,
U1390,A,4,H,22.6,22.6,0,0,1,REL,,,,,
U1390,B,1,H,0,0.769,0.769,0,0,TIE,A1,2.038,1.269,Natural Gamma,
U1390,B,2,H,9.1,10.604,1.504,0,1.165,TIE,A2,11.659,10.155,Natural Gamma,
U1390,B,3,H,18.6,20.104,1.504,0,1.081,REL,,,,,
U1390,B,4,H,28.1,29.604,1.504,0,1.054,REL,,,,,
U1390,C,1,H,0,0,0,0,0,REL,,,,,
U1390,C,2,H,4.4,4.4,0,0,1,REL,,,,,
U1390,C,3,H,13.9,15.37,1.47,0,1.106,TIE,B2,15.434,15.468,Natural Gamma,
U1390,C,4,H,23.4,24.87,1.47,0,1.063,REL,,,,,
